,6,,,7,,,8,,,Extended Time,
HR,7:00:00 AM,7:30:00 AM,HR,7:00:00 AM,7:30:00 AM,HR,7:00:00 AM,7:30:00 AM,HR,7:00:00 AM,7:30:00 AM
Move to Test Locations,7:30:00 AM,7:35:00 AM,Move to Test Locations,7:30:00 AM,7:35:00 AM,Move to Test Locations,7:30:00 AM,7:35:00 AM,Move to Test Locations,7:30:00 AM,7:35:00 AM
Pass out ELA Sub 3 Test & Materials. Read directions.,7:35:00 AM,7:50:00 AM,Pass out ELA Sub 3 Test & Materials. Read directions.,7:35:00 AM,7:50:00 AM,Pass out ELA Sub 3 Test & Materials. Read directions.,7:35:00 AM,7:50:00 AM,Pass out ELA Sub 3 Test & Materials. Read directions.,7:35:00 AM,7:50:00 AM
ELA Sub 3 Test,7:50:00 AM,8:50:00 AM,ELA Sub 3 Test,7:50:00 AM,8:50:00 AM,ELA Sub 3 Test,7:50:00 AM,8:50:00 AM,ELA Sub 3 Test,7:50:00 AM,9:15:00 AM
Collect Test & Materials and Restroom Break,8:50:00 AM,9:05:00 AM,Collect Test & Materials and Restroom Break,8:50:00 AM,9:05:00 AM,Collect Test & Materials and Restroom Break,8:50:00 AM,9:05:00 AM,Collect Test & Materials and Restroom Break,9:15:00 AM,9:40:00 AM
Pass out ELA Sub 4 Test & Materials. Read directions.,9:05:00 AM,9:10:00 AM,Pass out ELA Sub 4 Test & Materials. Read directions.,9:05:00 AM,9:10:00 AM,Pass out ELA Sub 4 Test & Materials. Read directions.,9:05:00 AM,9:10:00 AM,Pass out ELA Sub 4 Test & Materials. Read directions.,9:40:00 AM,9:50:00 AM
ELA Sub 4 Test,9:10:00 AM,10:04:00 AM,ELA Sub 4 Test,9:10:00 AM,10:04:00 AM,ELA Sub 4 Test,9:10:00 AM,10:04:00 AM,ELA Sub 4 Test,9:50:00 AM,11:06:00 AM
Collect Test & Materials. Collection in hallway.,10:04:00 AM,10:10:00 AM,Collect Test & Materials. Collection in hallway.,10:04:00 AM,10:10:00 AM,Collect Test & Materials. Collection in hallway.,10:04:00 AM,10:10:00 AM,Collect Test & Materials. Collection in hallway.,11:06:00 AM,11:15:00 AM
1st,10:10:00 AM,10:57:00 AM,1st (LUNCH),10:10:00 AM,11:37:00 AM,3rd,10:10:00 AM,10:57:00 AM,RETURN TO GRADE LEVEL SCHEDULE,11:20:00 AM,2:15:00 PM
2nd,11:02:00 AM,11:49:00 AM,2nd,11:42:00 AM,12:29:00 PM,4th (LUNCH),11:02:00 AM,12:29:00 PM,School's Out,2:15:00 PM,2:15:00 PM
5th (LUNCH),11:54:00 AM,1:21:00 PM,3rd,12:34:00 PM,1:21:00 PM,5th,12:34:00 PM,1:21:00 PM,School's Out,2:15:00 PM,2:15:00 PM
6th,1:26:00 PM,2:15:00 PM,4th,1:26:00 PM,2:15:00 PM,6th,1:26:00 PM,2:15:00 PM,School's Out,2:15:00 PM,2:15:00 PM
Lunches,,,,,,,,,,,
Lackey - Barger - Stritzel - Lemmon - Campbell - Connelly - Welch - Brockley,12:15:00 PM,12:45:00 PM,Coleman - Brown - Abernathy - Mabry - Nelson - Puckett,10:15:00 AM,10:45:00 AM,Richard - Pennington - Kentner - Attardi - DeLong - Fox,11:10:00 AM,11:40:00 AM,Lackey - Barger - Stritzel - Lemmon - Campbell - Connelly - Welch - Brockley,,
Levin - Moore - Lee - Hartz - Hicks - Alford - King - Shepherd,12:35:00 PM,1:05:00 PM,Richards - Plockelman - Shaffer - Elkins - Williams - Tue,10:35:00 AM,11:05:00 AM,Roberts - Patton - Crozier - Lelito - Kinser - McClellan,11:40:00 AM,12:10:00 PM,Levin - Moore - Lee - Hartz - Hicks - Alford - King - Shepherd,,
