,6,,,7,,,8,
ADV,7:00:00 AM,7:30:00 AM,ADV,7:00:00 AM,7:25:00 AM,ADV,7:00:00 AM,7:25:00 AM
1,7:35:00 AM,8:05:00 AM,1,7:30:00 AM,8:00:00 AM,1 (PE/RA),7:30:00 AM,7:55:00 AM
2,8:10:00 AM,8:35:00 AM,2,8:05:00 AM,8:35:00 AM,2 (PE/RA),8:00:00 AM,8:25:00 AM
3 (PE/RA),8:40:00 AM,9:05:00 AM,3 (LUNCH),8:40:00 AM,9:10:00 AM,3,8:30:00 AM,9:00:00 AM
4 (PE/RA),9:10:00 AM,9:35:00 AM,4,9:15:00 AM,9:45:00 AM,4 (LUNCH),9:05:00 AM,9:40:00 AM
5 (LUNCH),9:40:00 AM,10:10:00 AM,5 (PE/RA),9:50:00 AM,10:15:00 AM,5,9:45:00 AM,10:20:00 AM
6,10:15:00 AM,10:45:00 AM,6 (PE/RA),10:20:00 AM,10:35:00 AM,6,10:25:00 AM,10:45:00 AM
Lunches,,,,,,,,
NO LUNCHES TODAY,7:00:00 AM,10:45:00 AM,NO LUNCHES TODAY,7:00:00 AM,10:45:00 AM,NO LUNCHES TODAY,7:00:00 AM,10:45:00 AM
